customer_id,account_age_days,total_orders,total_returns,return_rate,avg_days_to_return,avg_order_value,high_value_return_ratio,payment_method,preferred_category,complaints_filed,refund_to_wallet_pref,is_risky_return
CUST10000,145,7,1,0.182,7.36,1242.89,0.381,COD,Fashion,0,0,0
CUST10001,466,5,0,0.052,7.2,3105.5,0.092,COD,Mobiles,0,0,0
CUST10002,117,10,0,0.03,4.25,2813.37,0.288,COD,Books,1,0,0
CUST10003,511,8,1,0.087,5.68,671.84,0.359,UPI,Footwear,0,1,0
CUST10004,209,4,1,0.227,1.03,1487.31,0.41,UPI,Beauty,1,0,0
CUST10005,674,9,0,0.055,4.75,1283.68,0.35,UPI,Electronics,2,0,0
CUST10006,112,4,0,0.07,9.9,1692.78,0.07,UPI,Electronics,0,0,0
CUST10007,235,4,1,0.28,2.12,1815.33,0.454,COD,Electronics,0,1,1
CUST10008,634,10,1,0.106,9.89,2045.35,0.288,COD,Home & Kitchen,0,0,0
CUST10009,81,9,0,0.044,11.64,1466.23,0.164,COD,Footwear,0,0,0
CUST10010,316,7,3,0.423,0.5,1258.91,0.653,COD,Beauty,1,1,1
CUST10011,634,17,2,0.099,7.54,1831.54,0.045,COD,Footwear,0,0,0
CUST10012,226,5,1,0.148,11.49,1751.23,0.379,COD,Books,1,0,0
CUST10013,62,10,0,0.0,12.8,1026.42,0.121,Credit Card,Fashion,0,0,0
CUST10014,292,7,0,0.07,9.18,2612.55,0.347,UPI,Electronics,2,0,0
CUST10015,36,3,1,0.186,7.23,2938.63,0.273,UPI,Fashion,0,1,0
CUST10016,498,13,1,0.068,11.56,1433.35,0.089,COD,Electronics,0,1,0
CUST10017,475,7,1,0.133,10.24,1150.65,0.186,COD,Fashion,1,0,0
CUST10018,507,10,0,0.046,8.86,3702.41,0.568,COD,Books,0,1,0
CUST10019,18,13,0,0.038,15.57,945.1,0.389,COD,Books,1,0,0
CUST10020,116,12,1,0.095,5.71,2166.58,0.582,COD,Mobiles,3,1,0
CUST10021,873,9,0,0.035,9.73,5434.87,0.435,UPI,Electronics,0,0,0
CUST10022,427,4,0,0.0,13.33,3000.1,0.288,UPI,Mobiles,0,1,0
CUST10023,208,7,1,0.147,10.1,845.41,0.41,COD,Fashion,0,0,0
CUST10024,102,4,1,0.178,9.11,1033.03,0.307,UPI,Fashion,0,0,0
CUST10025,203,8,1,0.069,8.62,834.04,0.217,COD,Fashion,0,0,0
CUST10026,668,9,1,0.15,5.07,3094.82,0.23,COD,Fashion,0,0,0
CUST10027,686,9,1,0.106,9.62,5424.59,0.572,Credit Card,Fashion,0,0,0
CUST10028,107,6,0,0.03,7.19,2791.55,0.223,COD,Mobiles,2,1,0
CUST10029,840,7,1,0.1,7.74,2097.44,0.437,Credit Card,Home & Kitchen,0,1,0
CUST10030,214,10,2,0.187,7.58,6017.85,0.166,UPI,Fashion,0,1,0
CUST10031,633,7,1,0.128,11.92,3931.11,0.55,Debit Card,Electronics,0,1,0
CUST10032,54,10,2,0.179,2.65,5039.78,0.135,COD,Mobiles,1,0,0
CUST10033,157,3,0,0.123,2.04,1476.48,0.553,COD,Fashion,0,0,0
CUST10034,743,5,3,0.511,1.88,729.56,0.556,UPI,Fashion,1,0,1
CUST10035,16,8,1,0.094,8.24,1562.76,0.384,UPI,Beauty,0,0,0
CUST10036,83,4,1,0.214,5.12,1477.18,0.327,Debit Card,Fashion,0,1,0
CUST10037,8,3,1,0.294,5.54,1187.78,0.626,Credit Card,Home & Kitchen,0,0,1
CUST10038,894,7,1,0.11,15.47,2651.59,0.307,COD,Fashion,0,1,0
CUST10039,42,6,1,0.161,13.71,799.66,0.303,COD,Footwear,0,0,0
CUST10040,89,10,0,0.0,10.82,489.26,0.631,COD,Fashion,0,0,0
CUST10041,354,8,3,0.352,1.93,3313.44,0.421,COD,Home & Kitchen,0,1,1
CUST10042,870,6,2,0.305,7.12,1494.12,0.204,COD,Footwear,0,0,1
CUST10043,83,5,1,0.152,9.59,3254.44,0.075,UPI,Books,0,1,0
CUST10044,159,10,1,0.133,5.99,977.29,0.077,UPI,Footwear,0,0,0
CUST10045,638,11,1,0.108,7.13,1212.44,0.272,Debit Card,Fashion,1,0,0
CUST10046,235,11,0,0.021,3.75,634.29,0.143,Debit Card,Fashion,1,0,0
CUST10047,274,16,3,0.207,6.37,3577.61,0.148,COD,Beauty,1,0,0
CUST10048,306,11,2,0.144,12.22,783.76,0.034,UPI,Books,1,0,0
CUST10049,430,2,0,0.117,12.24,1297.37,0.11,COD,Fashion,0,0,0
CUST10050,100,11,1,0.084,8.31,3110.82,0.193,UPI,Footwear,1,0,0
CUST10051,14,8,1,0.068,9.38,1048.68,0.12,COD,Electronics,0,0,0
CUST10052,108,6,3,0.549,0.81,4174.81,0.65,Credit Card,Fashion,0,0,1
CUST10053,47,8,2,0.244,2.27,1077.68,0.532,UPI,Fashion,3,1,1
CUST10054,229,4,1,0.137,4.68,2568.72,0.551,Wallet,Beauty,0,0,0
CUST10055,27,7,1,0.118,9.67,3281.85,0.137,Credit Card,Fashion,0,1,0
CUST10056,75,9,1,0.088,5.87,1555.25,0.571,Wallet,Fashion,0,0,0
CUST10057,450,5,0,0.096,11.99,1214.49,0.54,COD,Fashion,0,0,0
CUST10058,198,7,1,0.073,5.9,1519.09,0.318,Credit Card,Home & Kitchen,0,0,0
CUST10059,50,6,2,0.256,8.68,1547.34,0.345,Credit Card,Beauty,1,0,1
CUST10060,806,9,6,0.701,1.9,2166.14,0.905,UPI,Footwear,2,0,1
CUST10061,240,3,0,0.145,3.52,233.13,0.124,Debit Card,Beauty,0,0,0
CUST10062,602,5,2,0.406,7.81,2663.67,0.379,COD,Mobiles,0,0,1
CUST10063,204,9,1,0.1,10.65,824.82,0.51,COD,Books,0,1,0
CUST10064,244,9,2,0.198,7.88,2770.44,0.085,Debit Card,Home & Kitchen,0,0,0
CUST10065,405,4,1,0.154,2.16,2068.13,0.109,Debit Card,Electronics,0,1,0
CUST10066,358,6,0,0.025,6.87,1130.3,0.292,UPI,Beauty,0,0,0
CUST10067,126,10,1,0.115,6.26,1830.81,0.101,UPI,Fashion,0,0,0
CUST10068,1472,11,0,0.041,5.01,345.56,0.303,Credit Card,Books,1,1,0
CUST10069,42,9,4,0.419,6.07,1722.62,0.214,Credit Card,Beauty,1,0,1
CUST10070,157,3,0,0.083,10.59,1651.63,0.449,COD,Beauty,0,0,0
CUST10071,23,7,1,0.073,7.9,1027.17,0.194,UPI,Beauty,0,0,0
CUST10072,229,9,0,0.051,1.23,1166.38,0.324,Credit Card,Home & Kitchen,1,0,0
CUST10073,53,13,3,0.266,11.39,1113.43,0.237,Credit Card,Fashion,0,0,1
CUST10074,347,3,0,0.04,12.9,815.82,0.112,Debit Card,Footwear,0,0,0
CUST10075,30,10,1,0.058,13.37,4832.65,0.25,UPI,Fashion,0,0,0
CUST10076,178,10,7,0.676,1.22,3591.41,0.723,Wallet,Mobiles,0,0,1
CUST10077,47,14,1,0.105,8.25,1710.33,0.316,Debit Card,Footwear,0,0,0
CUST10078,136,4,0,0.104,3.23,1251.62,0.208,UPI,Beauty,0,0,0
CUST10079,361,4,0,0.052,11.54,1407.6,0.303,Debit Card,Footwear,0,1,0
CUST10080,211,7,0,0.044,3.4,1637.78,0.352,UPI,Fashion,0,1,0
CUST10081,150,5,1,0.173,7.42,2809.69,0.327,UPI,Footwear,0,1,0
CUST10082,188,8,2,0.252,4.57,2183.79,0.39,UPI,Fashion,0,1,1
CUST10083,184,4,2,0.416,2.32,713.47,0.702,Wallet,Home & Kitchen,1,1,1
CUST10084,95,10,0,0.043,6.57,1980.41,0.391,UPI,Home & Kitchen,0,0,0
CUST10085,203,9,2,0.275,4.38,1664.92,0.235,UPI,Home & Kitchen,0,1,1
CUST10086,640,6,1,0.084,11.64,821.16,0.17,COD,Home & Kitchen,0,1,0
CUST10087,263,13,1,0.052,6.13,2281.53,0.147,Credit Card,Books,0,1,0
CUST10088,335,5,2,0.363,6.56,947.4,0.208,Credit Card,Footwear,0,0,1
CUST10089,209,7,1,0.098,13.85,1380.81,0.045,Wallet,Beauty,0,0,0
CUST10090,122,7,0,0.065,6.31,3248.77,0.07,COD,Mobiles,0,0,0
CUST10091,40,8,2,0.273,5.45,2278.82,0.37,COD,Books,0,0,1
CUST10092,535,6,0,0.0,8.11,446.39,0.338,UPI,Fashion,0,0,0
CUST10093,479,7,1,0.125,11.93,2392.9,0.168,Credit Card,Footwear,0,1,0
CUST10094,180,9,7,0.772,2.93,6072.53,0.658,COD,Fashion,1,1,1
CUST10095,70,4,0,0.0,8.07,989.92,0.427,COD,Electronics,0,1,0
CUST10096,209,10,2,0.204,6.36,1105.5,0.31,COD,Electronics,1,0,0
CUST10097,136,8,1,0.171,6.9,705.23,0.292,COD,Fashion,0,0,0
CUST10098,396,14,1,0.069,9.26,420.18,0.074,COD,Mobiles,0,0,0
CUST10099,12,8,1,0.079,9.84,944.08,0.277,COD,Fashion,0,0,0
CUST10100,12,13,1,0.08,10.59,270.32,0.308,Credit Card,Electronics,0,0,0
CUST10101,22,9,1,0.135,14.88,651.18,0.155,Wallet,Mobiles,0,0,0
CUST10102,616,8,3,0.325,3.55,1673.52,0.503,Credit Card,Home & Kitchen,1,1,1
CUST10103,1189,11,3,0.267,0.5,2626.1,0.204,COD,Fashion,0,1,1
CUST10104,103,6,1,0.127,11.18,2414.99,0.394,UPI,Footwear,0,0,0
CUST10105,205,4,0,0.0,9.64,1734.75,0.292,COD,Footwear,1,1,0
CUST10106,121,10,2,0.159,4.38,1965.67,0.507,Debit Card,Home & Kitchen,0,1,0
CUST10107,99,6,0,0.049,9.05,3118.82,0.177,Credit Card,Fashion,1,1,0
CUST10108,672,10,1,0.136,11.9,3634.45,0.08,Debit Card,Fashion,0,1,0
CUST10109,213,5,2,0.319,5.2,1306.94,0.366,Debit Card,Fashion,0,0,1
CUST10110,407,8,1,0.098,3.77,1877.3,0.329,Credit Card,Beauty,0,0,0
CUST10111,998,8,2,0.201,6.48,3163.9,0.11,UPI,Fashion,1,1,0
CUST10112,188,5,1,0.112,4.26,1685.3,0.246,Credit Card,Fashion,0,0,0
CUST10113,297,10,1,0.097,10.86,741.16,0.24,COD,Fashion,1,0,0
CUST10114,175,4,0,0.09,4.93,2522.87,0.242,Debit Card,Fashion,0,1,0
CUST10115,68,13,3,0.219,9.91,2568.42,0.299,UPI,Fashion,0,0,0
CUST10116,201,7,0,0.026,13.26,1118.07,0.229,COD,Home & Kitchen,0,0,0
CUST10117,87,5,0,0.091,8.43,478.66,0.648,UPI,Mobiles,1,1,0
